04/01/2016 ;Lazer;DEBITO VISA ELECTRON BRASIL 01/01 DJ CLUB;450586;-56
04/01/2016 ;Outras despesas;DEBITO VISA ELECTRON BRASIL 02/01 CARREFOUR TTE 4;222586;-45,65
04/01/2016 ;Lazer;DEBITO VISA ELECTRON BRASIL 03/01 VIOLETA RESTAUR;520786;-57,05
04/01/2016 ;Lazer;DEBITO VISA ELECTRON BRASIL 03/01 DJ CLUB;385686;-102
04/01/2016 ;Transporte;DEBITO VISA ELECTRON BRASIL 03/01 ESTACIONAMENTO.;122886;-7
05/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 05/01 BOB.S.SHOP ARIC;320886;-18,5
06/01/2016 ;Saúde;DEBITO AUTOM EMPRESAS CONVENIADAS ESC. BIO PAULI;0;-55,23
06/01/2016 ;Transporte;PGTO TITULO OUTRO BCO - INTERNET SAO PAULO TRANSPORTE S/A;141647;-48
06/01/2016 ;Educação;DEBITO VISA ELECTRON BRASIL 06/01 LIVR CULTURA;270186;-35,9
06/01/2016 ;Transporte;DEBITO VISA ELECTRON BRASIL 06/01 PERTO METRO SAO;525886;-10
06/01/2016 ;Saúde;DEBITO VISA ELECTRON BRASIL 06/01 DROGA RAIA F66;362386;-17,36
07/01/2016 ;Salário;PAGAMENTO A FORNECEDORES CNPJ 057978850000186;10107;2.300,35
07/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 07/01 PANIFICADORA ER;242186;-7,95
07/01/2016 ;Outras despesas;EMISSAO DE DOC D VIA BCE 237-0095-00000032305;92622;-490,81
07/01/2016 ;Transporte;PGTO LICENCIAMENTO VEICULOS CANAIS INTERNET LICENCIAMENTO EL;0;-208,93
07/01/2016 ;Transporte;PAGAMENTO IPVA-CANAIS INTERNET LICENCIAMENTO EL;0;-59,98
08/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 08/01 CASA DO PASTEL;163686;-5
08/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 08/01 NOEMIA MOTUBO U;345486;-5
08/01/2016 ;Alimentação;DEBITO VISA ELECTRON BRASIL 08/01 TEMAKI CAFE;161486;-37,29
